 150.0, 13920, -59.1, -90.1, 1, 0.00, 0, 67, 368.1, 368.1, 368.1
 142.0, 14262, -60.1, -91.1, 1, 0.00, 359, 60, 372.1, 372.1, 372.1
 137.0, 14486, -59.7, -90.7, 1, 0.00, 358, 55, 376.7, 376.7, 376.7
 127.0, 14955, -62.5, -92.5, 1, 0.00, 356, 45, 379.9, 379.9, 379.9
 123.0, 15152, -62.7, -92.7, 1, 0.00, 355, 41, 383.0, 383.0, 383.0
 121.2, 15240, -63.6, -93.2, 1, 0.00, 355, 39, 382.9, 382.9, 382.9
 118.0, 15406, -65.3, -94.3, 1, 0.00, 354, 40, 382.8, 382.8, 382.8
 107.0, 15996, -68.7, -94.7, 1, 0.00, 349, 42, 387.2, 387.2, 387.2
 103.0, 16223, -69.1, -94.1, 2, 0.00, 347, 43, 390.6, 390.6, 390.6
 100.0, 16400, -68.1, -93.1, 2, 0.00, 345, 44, 395.9, 395.9, 395.9
 86.5, 17259, -72.5, -94.5, 2, 0.00, 345, 42, 403.8, 403.8, 403.8
 73.5, 18220, -69.5, -91.5, 3, 0.00, 359, 32, 429.3, 429.4, 429.3
 72.7, 18288, -69.6, -91.6, 3, 0.00, 0, 31, 430.4, 430.4, 430.4
 70.0, 18510, -70.1, -92.1, 3, 0.00, 10, 20, 434.1, 434.1, 434.1
 69.0, 18593, -70.1, -92.3, 3, 0.00, 5, 17, 435.7, 435.7, 435.7
 65.6, 18898, -70.3, -93.3, 2, 0.00, 340, 24, 441.8, 441.8, 441.8
 65.5, 18906, -70.3, -93.3, 2, 0.00, 340, 24, 442.0, 442.0, 442.0
 63.6, 19083, -68.3, -91.3, 2, 0.00, 346, 23, 450.1, 450.1, 450.1
 62.4, 19202, -68.8, -92.1, 2, 0.00, 350, 23, 451.7, 451.7, 451.7
 60.3, 19403, -69.5, -93.5, 2, 0.00, 337, 22, 454.3, 454.3, 454.3
 59.3, 19507, -69.0, -93.2, 2, 0.00, 330, 21, 457.8, 457.8, 457.8
 56.5, 19794, -67.5, -92.5, 2, 0.00, 354, 26, 467.4, 467.4, 467.4
 56.3, 19812, -67.6, -92.6, 2, 0.00, 355, 26, 467.6, 467.6, 467.6
 53.5, 20117, -68.7, -93.7, 2, 0.00, 40, 15, 471.8, 471.8, 471.8
 53.1, 20168, -68.9, -93.9, 2, 0.00, 37, 15, 472.5, 472.5, 472.5
 50.9, 20422, -68.2, -93.9, 1, 0.00, 25, 14, 479.9, 479.9, 479.9
 50.0, 20530, -67.9, -93.9, 1, 0.00, 30, 13, 483.1, 483.1, 483.1
 48.4, 20726, -66.8, -93.9, 1, 0.00, 5, 3, 490.1, 490.1, 490.1
 47.0, 20904, -65.9, -93.9, 1, 0.00, 358, 4, 496.5, 496.5, 496.5
 44.1, 21290, -66.1, -95.1, 1, 0.00, 342, 8, 505.1, 505.1, 505.1
 43.8, 21336, -65.8, -94.9, 1, 0.00, 340, 8, 507.0, 507.1, 507.0
 41.3, 21690, -63.1, -93.1, 1, 0.00, 15, 11, 522.1, 522.1, 522.1
 39.6, 21946, -63.0, -93.0, 1, 0.00, 40, 13, 528.6, 528.6, 528.6
 37.7, 22250, -62.9, -92.9, 1, 0.00, 65, 20, 536.4, 536.4, 536.4
 32.5, 23165, -62.5, -92.5, 1, 0.00, 70, 11, 560.7, 560.7, 560.7
 30.9, 23470, -62.4, -92.4, 1, 0.00, 10, 1, 569.0, 569.0, 569.0
 30.0, 23660, -62.3, -92.3, 1, 0.00, 15, 7, 574.2, 574.2, 574.2
 29.4, 23774, -62.2, -92.2, 1, 0.00, 15, 12, 577.4, 577.4, 577.4
 28.0, 24085, -62.1, -92.1, 1, 0.00, 45, 15, 586.2, 586.2, 586.2
 28.0, 24079, -62.1, -92.1, 1, 0.00, 45, 15, 586.0, 586.1, 586.0
 26.7, 24384, -60.5, -91.2, 1, 0.00, 55, 11, 598.8, 598.9, 598.8
 25.4, 24689, -58.9, -90.3, 1, 0.00, 35, 14, 611.9, 612.0, 611.9
 24.4, 24942, -57.5, -89.5, 1, 0.01, 52, 7, 623.0, 623.1, 623.0
 24.2, 24994, -57.5, -89.5, 1, 0.01, 55, 5, 624.4, 624.5, 624.4
 23.1, 25298, -57.6, -89.6, 1, 0.01, 40, 11, 632.8, 632.8, 632.8
 22.4, 25480, -57.7, -89.7, 1, 0.01, 58, 10, 637.8, 637.9, 637.8
 22.0, 25603, -56.4, -88.4, 1, 0.01, 70, 10, 645.2, 645.3, 645.2
 21.8, 25652, -55.9, -87.9, 1, 0.01, 70, 11, 648.2, 648.2, 648.2
 20.0, 26213, -54.7, -86.7, 1, 0.01, 85, 19, 668.5, 668.6, 668.5
 20.0, 26200, -54.7, -86.7, 1, 0.01, 65, 18, 668.0, 668.1, 668.0
 19.0, 26518, -53.7, -86.2, 1, 0.01, 110, 15, 680.5, 680.7, 680.5
 18.2, 26822, -52.8, -85.7, 1, 0.01, 115, 11, 692.7, 692.9, 692.7
 17.9, 26914, -52.5, -85.5, 1, 0.01, 100, 11, 696.5, 696.6, 696.5
 17.3, 27127, -51.1, -84.7, 1, 0.02, 65, 11, 707.5, 707.7, 707.5
 17.0, 27249, -50.3, -84.3, 1, 0.02, 89, 12, 713.8, 714.0, 713.8
 16.5, 27432, -50.5, -84.5, 1, 0.02, 125, 14, 718.9, 719.1, 718.9
 15.4, 27893, -51.1, -85.1, 1, 0.02, 136, 14, 731.6, 731.9, 731.7
 13.3, 28852, -48.9, -82.9, 1, 0.03, 158, 14, 770.5, 770.9, 770.5
 13.1, 28956, -49.2, -83.1, 1, 0.03, 160, 14, 772.9, 773.3, 772.9
 12.5, 29261, -50.1, -83.6, 1, 0.03, 140, 15, 780.0, 780.4, 780.0
 11.8, 29634, -51.3, -84.3, 1, 0.03, 128, 13, 788.8, 789.1, 788.8
 10.4, 30480, -48.2, -82.7, 1, 0.04, 100, 8, 829.9, 830.4, 829.9
 10.0, 30720, -47.3, -82.3, 1, 0.05, 35, 6, 841.9, 842.5, 841.9
 9.5, 31090, -44.1, -80.0, 1, 0.07, 0, 0, 867.6, 868.5, 867.6
 9.4, 31132, -43.7, -79.7, 1, 0.07, 359, 0, 870.5, 871.5, 870.6
 8.3, 31961, -47.5, -82.5, 1, 0.05, 335, 9, 887.1, 887.8, 887.1
 8.1, 32122, -47.5, -82.5, 1, 0.05, 330, 10, 893.3, 894.1, 893.4
 7.9, 32309, -45.5, -81.1, 1, 0.07, 325, 12, 908.5, 909.4, 908.5
 7.7, 32460, -43.9, -79.9, 1, 0.09, , , 920.8, 922.0, 920.9
